,title_ru,title_eng,year,genre,duration,country,director,quote,main_actors,rating_KinoPoisk,rating_IMDB,description
0,Побег из Шоушенка,The Shawshank Redemption,1994,драма,142 мин.,США,Фрэнк Дарабонт,«Страх - это кандалы. Надежда - это свобода»,"Тим Роббинс, Морган Фриман, Боб Гантон, Уильям Сэдлер, Клэнси Браун",9.108,9.3,"Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. Каждый, кто попадает в эти стены, становится их рабом до конца жизни. Но Энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения...."
1,Законопослушный гражданин,Law Abiding Citizen,2009,"боевик, триллер, драма, криминал",108 мин.,США,Ф. Гэри Грей,"«Как остановить убийцу, если он уже за решеткой?»","Джейми Фокс, Джерард Батлер, Колм Мини, Брюс МакГилл, Лесли Бибб",0.0,7.4,"Окружной прокурор пошёл на сделку с преступниками и освободил их из тюрьмы. Тогда человек, чьи жена и ребёнок погибли от рук убийц, решает отомстить прокурору, совершив правосудие самостоятельно. Его ловят и сажают в тюрьму, но он неожиданно ставит ультиматум: он будет убивать, не выходя из-за решетки, если его требования не будут выполнены. Смешное заявление, но вскоре люди правда начинают гибнуть......"
2,1+1,Intouchables,2011,"драма, комедия, биография",112 мин.,Франция,"Оливье Накаш, Эрик Толедано",«Sometimes you have to reach into someone else's world to find out what's missing in your own»,"Франсуа Клюзе, Омар Си, Анн Ле Ни, Одри Флеро, Жозефин де Мо",8.805,8.5,"Пострадав в результате несчастного случая, богатый аристократ Филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья Дрисса, только что освободившегося из тюрьмы. Несмотря на то, что Филипп прикован к инвалидному креслу, Дриссу удается привнести в размеренную жизнь аристократа дух приключений...."
3,Форрест Гамп,Forrest Gump,1994,"драма, комедия, мелодрама, история, военный",142 мин.,США,Роберт Земекис,"«Мир уже никогда не будет прежним, после того как вы увидите его глазами Форреста Гампа»","Том Хэнкс, Робин Райт, Салли Филд, Гэри Синиз, Майкелти Уильямсон",8.911,8.8,"Сидя на автобусной остановке, Форрест Гамп - не очень умный, но добрый и открытый парень - рассказывает случайным встречным историю своей необыкновенной жизни.С самого малолетства парень страдал от заболевания ног, соседские мальчишки дразнили его, но в один прекрасный день Форрест открыл в себе невероятные способности к бегу. Подруга детства Дженни всегда его поддерживала и защищала, но вскоре дороги их разошлись...."
4,Зеленая миля,The Green Mile,1999,"драма, криминал",189 мин.,США,Фрэнк Дарабонт,«Пол Эджкомб не верил в чудеса. Пока не столкнулся с одним из них»,"Том Хэнкс, Дэвид Морс, Бонни Хант, Майкл Кларк Дункан, Джеймс Кромуэлл",9.067,8.6,"Пол Эджкомб - начальник блока смертников в тюрьме «Холодная гора», каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи, обвинённый в страшном преступлении, стал одним из самых необычных обитателей блока...."
5,Назад в будущее,Back to the Future,1985,"фантастика, комедия, приключения",116 мин.,США,Роберт Земекис,«Семнадцатилетний Марти МакФлай пришел вчера домой пораньше. На 30 лет раньше»,"Майкл Дж. Фокс, Кристофер Ллойд, Лиа Томпсон, Криспин Гловер, Томас Ф. Уилсон",8.304,8.5,"Подросток Марти с помощью машины времени, сооружённой его другом-профессором доком Брауном, попадает из 80-х в далекие 50-е. Там он встречается со своими будущими родителями, ещё подростками, и другом-профессором, совсем молодым...."
6,Брат,-,1997,"драма, криминал, боевик",100 мин.,Россия,Алексей Балабанов,-,"Сергей Бодров мл., Виктор Сухоруков, Светлана Письмиченко, Мария Милютина, Юрий Кузнецов",8.151,7.8,"Демобилизовавшись, Данила Багров вернулся в родной городок. Но скучная жизнь российской провинции не устраивала его, и он решился податься в Петербург, где, по слухам, уже несколько лет процветает его старший брат. Данила нашел брата. Но все оказалось не так просто - брат работает наемным убийцей...."
7,Достучаться до небес,Knockin' on Heaven's Door,1997,"драма, комедия, криминал",87 мин.,Германия,Томас Ян,"«Быстрый автомобиль, миллион марок в багажнике, и всего одна неделя жить»","Тиль Швайгер, Ян Йозеф Лиферс, Тьерри Ван Вервеке, Мориц Бляйбтрой, Хуб Стапель",8.628,7.9,"Волею судеб две абсолютные противоположности, тихоня Руди и разгильдяй Мартин, оказываются в одной больничной палате. Узнав неутешительные прогнозы, друзья решают использовать последние дни на полную катушку - угнать машину с деньгами, напиться текилы, и, конечно, увидеть море...."
8,Иван Васильевич меняет профессию,-,1973,"комедия, фантастика, приключения",88 мин.,СССР,Леонид Гайдай,-,"Александр Демьяненко, Юрий Яковлев, Леонид Куравлёв, Наталья Крачковская, Савелий Крамаров",8.703,8.2,"Инженер-изобретатель Тимофеев сконструировал машину времени, которая соединила его квартиру с далеким шестнадцатым веком - точнее, с палатами государя Ивана Грозного. Туда-то и попадают тезка царя пенсионер-общественник Иван Васильевич Бунша и квартирный вор Жорж Милославский.На их место в двадцатом веке «переселяется» великий государь. Поломка машины приводит ко множеству неожиданных и забавных событий......"
9,Леон,Léon,1994,"боевик, триллер, драма, криминал",133 мин.,"Франция, США",Люк Бессон,"«Вы не можете остановить того, кого не видно»","Жан Рено, Натали Портман, Гари Олдман, Дэнни Айелло, Питер Эппел",8.67,8.5,"Профессиональный убийца Леон неожиданно для себя самого решает помочь 12-летней соседке Матильде, семью которой убили коррумпированные полицейские...."
